Year,Region,Region Code,Livestock type,Value,Value Unit,Value Label,Null Reason
1991,Bay of Plenty,Bay of Plenty Region,Deer,368159.9549,number,Kilograms of nitrogen leached,
1992,Bay of Plenty,Bay of Plenty Region,Deer,325552.1428,number,Kilograms of nitrogen leached,
1993,Bay of Plenty,Bay of Plenty Region,Deer,240034.6851,number,Kilograms of nitrogen leached,
1994,Bay of Plenty,Bay of Plenty Region,Deer,252163.4667,number,Kilograms of nitrogen leached,
1995,Bay of Plenty,Bay of Plenty Region,Deer,222337.3822,number,Kilograms of nitrogen leached,
1996,Bay of Plenty,Bay of Plenty Region,Deer,209989.9253,number,Kilograms of nitrogen leached,
1997,Bay of Plenty,Bay of Plenty Region,Deer,0,number,Kilograms of nitrogen leached,
1998,Bay of Plenty,Bay of Plenty Region,Deer,0,number,Kilograms of nitrogen leached,
1999,Bay of Plenty,Bay of Plenty Region,Deer,220578.7397,number,Kilograms of nitrogen leached,
2000,Bay of Plenty,Bay of Plenty Region,Deer,0,number,Kilograms of nitrogen leached,
2001,Bay of Plenty,Bay of Plenty Region,Deer,0,number,Kilograms of nitrogen leached,
2002,Bay of Plenty,Bay of Plenty Region,Deer,224918.3672,number,Kilograms of nitrogen leached,
2003,Bay of Plenty,Bay of Plenty Region,Deer,221973.95,number,Kilograms of nitrogen leached,
2004,Bay of Plenty,Bay of Plenty Region,Deer,209571.0543,number,Kilograms of nitrogen leached,
2005,Bay of Plenty,Bay of Plenty Region,Deer,181053.9419,number,Kilograms of nitrogen leached,
2006,Bay of Plenty,Bay of Plenty Region,Deer,185298.0915,number,Kilograms of nitrogen leached,
2007,Bay of Plenty,Bay of Plenty Region,Deer,167228.1165,number,Kilograms of nitrogen leached,
2008,Bay of Plenty,Bay of Plenty Region,Deer,160141.1876,number,Kilograms of nitrogen leached,
2009,Bay of Plenty,Bay of Plenty Region,Deer,141840.2175,number,Kilograms of nitrogen leached,
2010,Bay of Plenty,Bay of Plenty Region,Deer,138267.4937,number,Kilograms of nitrogen leached,
2011,Bay of Plenty,Bay of Plenty Region,Deer,130807.8926,number,Kilograms of nitrogen leached,
2012,Bay of Plenty,Bay of Plenty Region,Deer,129837.7133,number,Kilograms of nitrogen leached,
2013,Bay of Plenty,Bay of Plenty Region,Deer,118743.7897,number,Kilograms of nitrogen leached,
2014,Bay of Plenty,Bay of Plenty Region,Deer,108570.7665,number,Kilograms of nitrogen leached,
2015,Bay of Plenty,Bay of Plenty Region,Deer,100134.8262,number,Kilograms of nitrogen leached,
2016,Bay of Plenty,Bay of Plenty Region,Deer,100344.2618,number,Kilograms of nitrogen leached,
2017,Bay of Plenty,Bay of Plenty Region,Deer,100544.4575,number,Kilograms of nitrogen leached,
1990,Bay of Plenty,Bay of Plenty Region,Sheep,1790976.319,number,Kilograms of nitrogen leached,
1991,Bay of Plenty,Bay of Plenty Region,Sheep,1575584.364,number,Kilograms of nitrogen leached,
1992,Bay of Plenty,Bay of Plenty Region,Sheep,1395310.84,number,Kilograms of nitrogen leached,
1993,Bay of Plenty,Bay of Plenty Region,Sheep,1192511.899,number,Kilograms of nitrogen leached,
1994,Bay of Plenty,Bay of Plenty Region,Sheep,1012561.566,number,Kilograms of nitrogen leached,
1995,Bay of Plenty,Bay of Plenty Region,Sheep,1061640.858,number,Kilograms of nitrogen leached,
1996,Bay of Plenty,Bay of Plenty Region,Sheep,939509.0268,number,Kilograms of nitrogen leached,
1997,Bay of Plenty,Bay of Plenty Region,Sheep,0,number,Kilograms of nitrogen leached,
1998,Bay of Plenty,Bay of Plenty Region,Sheep,0,number,Kilograms of nitrogen leached,
1999,Bay of Plenty,Bay of Plenty Region,Sheep,809996.0404,number,Kilograms of nitrogen leached,
2000,Bay of Plenty,Bay of Plenty Region,Sheep,0,number,Kilograms of nitrogen leached,
2001,Bay of Plenty,Bay of Plenty Region,Sheep,0,number,Kilograms of nitrogen leached,
2002,Bay of Plenty,Bay of Plenty Region,Sheep,678013.4196,number,Kilograms of nitrogen leached,
2003,Bay of Plenty,Bay of Plenty Region,Sheep,580739.5282,number,Kilograms of nitrogen leached,
2004,Bay of Plenty,Bay of Plenty Region,Sheep,667756.1934,number,Kilograms of nitrogen leached,
2005,Bay of Plenty,Bay of Plenty Region,Sheep,582492.5933,number,Kilograms of nitrogen leached,
2006,Bay of Plenty,Bay of Plenty Region,Sheep,624213.583,number,Kilograms of nitrogen leached,
2007,Bay of Plenty,Bay of Plenty Region,Sheep,629035.3281,number,Kilograms of nitrogen leached,
2008,Bay of Plenty,Bay of Plenty Region,Sheep,565494.0648,number,Kilograms of nitrogen leached,
2009,Bay of Plenty,Bay of Plenty Region,Sheep,540363.5343,number,Kilograms of nitrogen leached,
2010,Bay of Plenty,Bay of Plenty Region,Sheep,567988.1834,number,Kilograms of nitrogen leached,
2011,Bay of Plenty,Bay of Plenty Region,Sheep,465123.7447,number,Kilograms of nitrogen leached,
2012,Bay of Plenty,Bay of Plenty Region,Sheep,527032.7314,number,Kilograms of nitrogen leached,
2013,Bay of Plenty,Bay of Plenty Region,Sheep,510238.2375,number,Kilograms of nitrogen leached,
2014,Bay of Plenty,Bay of Plenty Region,Sheep,408557.1993,number,Kilograms of nitrogen leached,
2015,Bay of Plenty,Bay of Plenty Region,Sheep,494556.9563,number,Kilograms of nitrogen leached,
2016,Bay of Plenty,Bay of Plenty Region,Sheep,429909.0095,number,Kilograms of nitrogen leached,
1994,Otago,Otago Region,Deer,149387.9163,number,Kilograms of nitrogen leached,
2017,Bay of Plenty,Bay of Plenty Region,Sheep,459542.991,number,Kilograms of nitrogen leached,
1990,Canterbury,Canterbury Region,Beef cattle,2660018.128,number,Kilograms of nitrogen leached,
1991,Canterbury,Canterbury Region,Beef cattle,2821797.924,number,Kilograms of nitrogen leached,
1992,Canterbury,Canterbury Region,Beef cattle,2851683.149,number,Kilograms of nitrogen leached,
1993,Canterbury,Canterbury Region,Beef cattle,3342391.887,number,Kilograms of nitrogen leached,
1994,Canterbury,Canterbury Region,Beef cattle,3769634.062,number,Kilograms of nitrogen leached,
1995,Canterbury,Canterbury Region,Beef cattle,4063216.858,number,Kilograms of nitrogen leached,
1996,Canterbury,Canterbury Region,Beef cattle,4079766.114,number,Kilograms of nitrogen leached,
1997,Canterbury,Canterbury Region,Beef cattle,0,number,Kilograms of nitrogen leached,
1998,Canterbury,Canterbury Region,Beef cattle,0,number,Kilograms of nitrogen leached,
1999,Canterbury,Canterbury Region,Beef cattle,4292625.503,number,Kilograms of nitrogen leached,
2000,Canterbury,Canterbury Region,Beef cattle,0,number,Kilograms of nitrogen leached,
2001,Canterbury,Canterbury Region,Beef cattle,0,number,Kilograms of nitrogen leached,
2002,Canterbury,Canterbury Region,Beef cattle,4207748.134,number,Kilograms of nitrogen leached,
2003,Canterbury,Canterbury Region,Beef cattle,4610532.707,number,Kilograms of nitrogen leached,
2004,Canterbury,Canterbury Region,Beef cattle,4430655.285,number,Kilograms of nitrogen leached,
2005,Canterbury,Canterbury Region,Beef cattle,4446788.312,number,Kilograms of nitrogen leached,
2006,Canterbury,Canterbury Region,Beef cattle,4411625.306,number,Kilograms of nitrogen leached,
2007,Canterbury,Canterbury Region,Beef cattle,4868261.557,number,Kilograms of nitrogen leached,
2008,Canterbury,Canterbury Region,Beef cattle,4442534.454,number,Kilograms of nitrogen leached,
2009,Canterbury,Canterbury Region,Beef cattle,4407587.887,number,Kilograms of nitrogen leached,
2010,Canterbury,Canterbury Region,Beef cattle,4048948.536,number,Kilograms of nitrogen leached,
2011,Canterbury,Canterbury Region,Beef cattle,4310132.085,number,Kilograms of nitrogen leached,
2012,Canterbury,Canterbury Region,Beef cattle,3918760.504,number,Kilograms of nitrogen leached,
2013,Canterbury,Canterbury Region,Beef cattle,4102716.968,number,Kilograms of nitrogen leached,
2014,Canterbury,Canterbury Region,Beef cattle,3723116.336,number,Kilograms of nitrogen leached,
2015,Canterbury,Canterbury Region,Beef cattle,3667791.209,number,Kilograms of nitrogen leached,
2016,Canterbury,Canterbury Region,Beef cattle,3874773.448,number,Kilograms of nitrogen leached,
2017,Canterbury,Canterbury Region,Beef cattle,3892155.161,number,Kilograms of nitrogen leached,
1990,Canterbury,Canterbury Region,Dairy cattle,2107262.835,number,Kilograms of nitrogen leached,
1991,Canterbury,Canterbury Region,Dairy cattle,2245038.018,number,Kilograms of nitrogen leached,
1992,Canterbury,Canterbury Region,Dairy cattle,2375558.93,number,Kilograms of nitrogen leached,
1993,Canterbury,Canterbury Region,Dairy cattle,3156241.45,number,Kilograms of nitrogen leached,
1994,Canterbury,Canterbury Region,Dairy cattle,3962658.912,number,Kilograms of nitrogen leached,
1995,Canterbury,Canterbury Region,Dairy cattle,4459567.075,number,Kilograms of nitrogen leached,
1996,Canterbury,Canterbury Region,Dairy cattle,4591822.298,number,Kilograms of nitrogen leached,
1997,Canterbury,Canterbury Region,Dairy cattle,0,number,Kilograms of nitrogen leached,
1998,Canterbury,Canterbury Region,Dairy cattle,0,number,Kilograms of nitrogen leached,
1999,Canterbury,Canterbury Region,Dairy cattle,5134027.689,number,Kilograms of nitrogen leached,
2000,Canterbury,Canterbury Region,Dairy cattle,0,number,Kilograms of nitrogen leached,
2001,Canterbury,Canterbury Region,Dairy cattle,0,number,Kilograms of nitrogen leached,
2002,Canterbury,Canterbury Region,Dairy cattle,10118867.31,number,Kilograms of nitrogen leached,
2003,Canterbury,Canterbury Region,Dairy cattle,10374892.68,number,Kilograms of nitrogen leached,
2004,Canterbury,Canterbury Region,Dairy cattle,11182447.71,number,Kilograms of nitrogen leached,
2005,Canterbury,Canterbury Region,Dairy cattle,11277797.53,number,Kilograms of nitrogen leached,
2006,Canterbury,Canterbury Region,Dairy cattle,12227379.59,number,Kilograms of nitrogen leached,
2007,Canterbury,Canterbury Region,Dairy cattle,14078449.22,number,Kilograms of nitrogen leached,
2008,Canterbury,Canterbury Region,Dairy cattle,15509330.64,number,Kilograms of nitrogen leached,
2009,Canterbury,Canterbury Region,Dairy cattle,17128282.28,number,Kilograms of nitrogen leached,
2010,Canterbury,Canterbury Region,Dairy cattle,17500748.94,number,Kilograms of nitrogen leached,
2011,Canterbury,Canterbury Region,Dairy cattle,18774236.95,number,Kilograms of nitrogen leached,
2012,Canterbury,Canterbury Region,Dairy cattle,22383674.46,number,Kilograms of nitrogen leached,
2013,Canterbury,Canterbury Region,Dairy cattle,24329180.13,number,Kilograms of nitrogen leached,
2014,Canterbury,Canterbury Region,Dairy cattle,24862564.78,number,Kilograms of nitrogen leached,
2015,Canterbury,Canterbury Region,Dairy cattle,23385099.38,number,Kilograms of nitrogen leached,
2016,Canterbury,Canterbury Region,Dairy cattle,23703317.53,number,Kilograms of nitrogen leached,
2017,Canterbury,Canterbury Region,Dairy cattle,24393331,number,Kilograms of nitrogen leached,
1990,Canterbury,Canterbury Region,Deer,269570.6048,number,Kilograms of nitrogen leached,
1991,Canterbury,Canterbury Region,Deer,331436.5396,number,Kilograms of nitrogen leached,
1992,Canterbury,Canterbury Region,Deer,345188.3383,number,Kilograms of nitrogen leached,
1993,Canterbury,Canterbury Region,Deer,366025.3851,number,Kilograms of nitrogen leached,
1994,Canterbury,Canterbury Region,Deer,444402.4014,number,Kilograms of nitrogen leached,
1995,Canterbury,Canterbury Region,Deer,475749.7759,number,Kilograms of nitrogen leached,
1996,Canterbury,Canterbury Region,Deer,477180.8965,number,Kilograms of nitrogen leached,
1997,Canterbury,Canterbury Region,Deer,0,number,Kilograms of nitrogen leached,
1998,Canterbury,Canterbury Region,Deer,0,number,Kilograms of nitrogen leached,
1999,Canterbury,Canterbury Region,Deer,742564.5299,number,Kilograms of nitrogen leached,
