Region,Region Code,Year,Measure,Age,Value,Value Unit,Value Label,Null Reason
Waikato,Waikato Region,2001,Age in broad groups for the census usually resident population count,15-64,227964,number,Number of people,
Waikato,Waikato Region,2001,Age in broad groups for the census usually resident population count,65-*,41703,number,Number of people,
Waikato,Waikato Region,2001,Age in broad groups for the census usually resident population count,Total people,356346,number,Number of people,
Waikato,Waikato Region,2006,Age in broad groups for the census usually resident population count,*-14,86997,number,Number of people,
Waikato,Waikato Region,2006,Age in broad groups for the census usually resident population count,15-64,246321,number,Number of people,
Waikato,Waikato Region,2006,Age in broad groups for the census usually resident population count,65-*,47505,number,Number of people,
Waikato,Waikato Region,2006,Age in broad groups for the census usually resident population count,Total people,380823,number,Number of people,
Waikato,Waikato Region,2013,Age in broad groups for the census usually resident population count,*-14,87483,number,Number of people,
Waikato,Waikato Region,2013,Age in broad groups for the census usually resident population count,15-64,256584,number,Number of people,
Waikato,Waikato Region,2013,Age in broad groups for the census usually resident population count,65-*,59574,number,Number of people,
Waikato,Waikato Region,2013,Age in broad groups for the census usually resident population count,Total people,403638,number,Number of people,
Bay of Plenty,Bay of Plenty Region,2001,Age in five-year groups for the census usually resident population count,0-4,18285,number,Number of people,
Bay of Plenty,Bay of Plenty Region,2001,Age in five-year groups for the census usually resident population count,5-9,19890,number,Number of people,
Bay of Plenty,Bay of Plenty Region,2001,Age in five-year groups for the census usually resident population count,10-14,20160,number,Number of people,
Bay of Plenty,Bay of Plenty Region,2001,Age in five-year groups for the census usually resident population count,15-19,15993,number,Number of people,
Bay of Plenty,Bay of Plenty Region,2001,Age in five-year groups for the census usually resident population count,20-24,12126,number,Number of people,
Bay of Plenty,Bay of Plenty Region,2001,Age in five-year groups for the census usually resident population count,25-29,13749,number,Number of people,
Bay of Plenty,Bay of Plenty Region,2001,Age in five-year groups for the census usually resident population count,30-34,16128,number,Number of people,
Bay of Plenty,Bay of Plenty Region,2001,Age in five-year groups for the census usually resident population count,35-39,17940,number,Number of people,
Bay of Plenty,Bay of Plenty Region,2001,Age in five-year groups for the census usually resident population count,40-44,17928,number,Number of people,
Bay of Plenty,Bay of Plenty Region,2001,Age in five-year groups for the census usually resident population count,45-49,15873,number,Number of people,
Bay of Plenty,Bay of Plenty Region,2001,Age in five-year groups for the census usually resident population count,50-54,14901,number,Number of people,
Bay of Plenty,Bay of Plenty Region,2001,Age in five-year groups for the census usually resident population count,55-59,12129,number,Number of people,
Bay of Plenty,Bay of Plenty Region,2001,Age in five-year groups for the census usually resident population count,60-64,10986,number,Number of people,
Bay of Plenty,Bay of Plenty Region,2001,Age in five-year groups for the census usually resident population count,65-*,33327,number,Number of people,
Bay of Plenty,Bay of Plenty Region,2001,Age in five-year groups for the census usually resident population count,Total people,239412,number,Number of people,
Bay of Plenty,Bay of Plenty Region,2006,Age in five-year groups for the census usually resident population count,0-4,18267,number,Number of people,
Bay of Plenty,Bay of Plenty Region,2006,Age in five-year groups for the census usually resident population count,5-9,19782,number,Number of people,
Bay of Plenty,Bay of Plenty Region,2006,Age in five-year groups for the census usually resident population count,10-14,21222,number,Number of people,
Bay of Plenty,Bay of Plenty Region,2006,Age in five-year groups for the census usually resident population count,15-19,18117,number,Number of people,
Bay of Plenty,Bay of Plenty Region,2006,Age in five-year groups for the census usually resident population count,20-24,12600,number,Number of people,
Bay of Plenty,Bay of Plenty Region,2006,Age in five-year groups for the census usually resident population count,25-29,13020,number,Number of people,
Bay of Plenty,Bay of Plenty Region,2006,Age in five-year groups for the census usually resident population count,30-34,15672,number,Number of people,
